karma,distribution,centile
1,207175,67.6
10,23421,76.2
20,10803,79.8
30,6690,82.0
40,4815,83.6
50,3692,84.8
60,2964,85.8
70,2506,86.6
80,2184,87.3
90,1885,87.9
100,1670,88.5
110,1475,89.0
120,1382,89.4
130,1213,89.8
140,1093,90.2
150,1000,90.5
160,932,90.8
170,865,91.1
180,759,91.4
190,739,91.6
200,696,91.9
210,717,92.1
220,639,92.3
230,618,92.5
240,555,92.7
250,538,92.9
260,521,93.0
270,479,93.2
280,444,93.3
290,421,93.5
300,425,93.6
310,366,93.7
320,412,93.9
330,330,94.0
340,339,94.1
350,378,94.2
360,326,94.3
370,337,94.4
380,296,94.5
390,308,94.6
400,279,94.7
410,292,94.8
420,254,94.9
430,254,95.0
440,229,95.1
450,251,95.2
460,247,95.2
470,227,95.3
480,225,95.4
490,195,95.5
500,169,95.5
510,186,95.6
520,193,95.6
530,165,95.7
540,179,95.8
550,170,95.8
560,159,95.9
570,176,95.9
580,167,96.0
590,136,96.0
600,151,96.1
610,137,96.1
620,147,96.2
630,141,96.2
640,143,96.3
650,141,96.3
660,142,96.4
670,110,96.4
680,136,96.4
690,132,96.5
700,148,96.5
710,123,96.6
720,112,96.6
730,112,96.6
740,128,96.7
750,117,96.7
760,105,96.8
770,110,96.8
780,114,96.8
790,103,96.9
800,91,96.9
810,96,96.9
820,112,97.0
830,106,97.0
840,104,97.0
850,89,97.1
860,97,97.1
870,74,97.1
880,99,97.2
890,75,97.2
900,87,97.2
910,89,97.2
920,75,97.3
930,87,97.3
940,85,97.3
950,83,97.3
960,73,97.4
970,79,97.4
980,73,97.4
990,73,97.4
1000,57,97.5
