topic,category,2012_q1,2012_q2,2012_q3,2012_q4,2013_q1,2013_q2,2013_q3,2013_q4,2014_q1,2014_q2,2014_q3,2014_q4,2015_q1
windows,techno,912,870,822,1169,656,637,500,405,472,300,369,273,402
javascript,lang,708,755,647,752,866,865,784,813,713,634,646,671,800
python,lang,485,457,466,400,606,529,538,542,505,466,458,395,468
linux,techno,404,443,483,459,545,459,493,381,320,329,356,338,402
amazon,corp,357,346,473,441,431,327,349,457,342,392,424,381,331
chrome,techno,356,342,295,320,396,278,325,282,313,265,228,182,289
php,lang,281,311,289,235,287,262,268,199,207,152,177,159,167
ruby,lang,277,307,248,363,389,310,278,300,285,260,223,250,272
java,lang,256,353,442,317,544,356,301,273,294,249,230,283,308
wordpress,corp,226,283,244,209,246,239,188,180,139,151,150,109,139
firefox,techno,209,213,215,173,238,229,193,163,191,143,124,173,134
samsung,corp,293,410,555,319,318,220,238,174,133,115,141,76,112
yahoo,corp,198,239,278,115,200,329,240,182,184,89,134,119,97
sql,lang,110,136,96,76,115,83,100,92,106,91,94,121,87
blackberry,corp,130,133,98,57,185,50,184,122,44,14,30,39,36
http,techno,92,99,61,80,81,93,95,79,94,80,87,109,102
ibm,corp,91,82,51,54,67,94,82,95,97,63,102,84,123
oracle,corp,82,238,109,84,96,75,76,59,43,41,72,29,30
xbox,techno,68,88,32,55,72,261,85,104,71,46,26,37,36
emacs,techno,46,41,43,44,46,49,56,56,53,36,46,117,43
ssl,techno,40,48,47,46,54,59,70,58,72,105,75,92,82
wikipedia,corp,185,85,78,85,76,63,78,77,86,79,89,79,73
photoshop,techno,139,91,43,33,96,81,62,39,38,27,16,18,46
paypal,corp,109,60,67,85,88,75,98,76,80,61,75,40,41
swift,lang,9,7,5,7,6,4,6,7,7,442,309,181,188
go,lang,404,384,404,345,467,487,541,494,454,468,433,497,569
google,corp,2558,2675,2240,2132,2961,3185,2285,2179,2099,2023,1403,1382,1711
facebook,corp,1602,2161,1383,1284,1369,1090,797,712,1036,677,484,490,635
apple,corp,1486,1219,1631,1293,1087,876,983,675,642,638,944,648,940
